Column1,schid,schname,distid,dist,city,county,type,District Type,low,PSAE
625,2.50E+14,Webber Twp High School,2.50E+14,Webber Twp HSD 204,Bluford,Jefferson,HIGH SCHOOL,Non Chicago School,23,49
626,1.30E+14,Wesclin Sr High School,1.30E+14,Wesclin CUSD 3,Trenton,Clinton,HIGH SCHOOL,Non Chicago School,12.9,64.4
627,1.08E+13,WEST PIKE HIGH SCHOOL,1.08E+13,WEST PIKE CUSD 2,KINDERHOOK,PIKE,HIGH SCHOOL,Non Chicago School,25.5,57.4
628,2.61E+14,West Prairie High School,2.61E+14,West Prairie CUSD 103,Sciota,McDonough,HIGH SCHOOL,Non Chicago School,28.2,50.3
629,1.21E+14,West Richland High School,1.21E+14,West Richland CUSD 2,Noble,Richland,HIGH SCHOOL,Non Chicago School,31,47.3
630,1.31E+14,Okawville Jr/Sr High School,1.31E+14,West Washington Co CUD 10,Okawville,Washington,HIGH SCHOOL,Non Chicago School,10.8,72.7
631,2.71E+14,Westmer High School,2.71E+14,Westmer CUSD 203,Joy,Mercer,HIGH SCHOOL,Non Chicago School,24.4,46.3
632,5.41E+14,Westville High School,5.41E+14,Westville CUSD 2,Westville,Vermilion,HIGH SCHOOL,Non Chicago School,26.1,57.5
633,2.80E+14,Wethersfield Jr/Sr High School,2.80E+14,Wethersfield CUSD 230,Kewanee,Henry,HIGH SCHOOL,Non Chicago School,25.3,51.7
634,3.30E+14,Williamsfield High School,3.30E+14,Williamsfield CUSD 210,Williamsfield,Knox,HIGH SCHOOL,Non Chicago School,7.3,59.1
635,5.11E+14,Williamsville High School,5.11E+14,Williamsville CUSD 15,Williamsville,Sangamon,HIGH SCHOOL,Non Chicago School,2.3,70.8
636,56099209U260001,Wilmington High School,56099209U260000,Wilmington CUSD 209U,Wilmington,Will,HIGH SCHOOL,Non Chicago School,17.1,54.2
637,4.61E+14,Winchester High School,4.61E+14,Winchester CUSD 1,Winchester,Scott,HIGH SCHOOL,Non Chicago School,14.5,52.6
638,1.11E+14,Windsor Jr & Sr High School,1.11E+14,Windsor CUSD 1,Windsor,Shelby,HIGH SCHOOL,Non Chicago School,28.2,53.8
639,4.10E+13,Winnebago High School,4.10E+13,Winnebago CUSD 323,Winnebago,Winnebago,HIGH SCHOOL,Non Chicago School,7.9,59.7
640,1.71E+14,Woodland High School,1.71E+14,Woodland CUSD 5,Streator,Livingston,HIGH SCHOOL,Non Chicago School,11.4,51.8
641,2.50E+14,Woodlawn Comm High School,2.50E+14,Woodlawn CHSD 205,Woodlawn,Jefferson,HIGH SCHOOL,Non Chicago School,25,42.4
642,4.41E+14,Woodstock High School,4.41E+14,Woodstock CUSD 200,Woodstock,McHenry,HIGH SCHOOL,Non Chicago School,19.1,55.8
643,2.40E+14,Yorkville High School,2.40E+14,Yorkville CUSD 115,Yorkville,Kendall,HIGH SCHOOL,Non Chicago School,3.3,57.9
