Column1,schid,schname,distid,dist,city,county,type,District Type,low,ISAT
3118,3.40E+14,Elmwood Elem School,3.40E+14,Zion ESD 6,Zion,Lake,ELEMENTARY,Non Chicago School,64,66.5
3119,3.40E+14,Zion Central Middle School,3.40E+14,Zion ESD 6,Zion,Lake,MIDDLE SCHL,Non Chicago School,64.1,36.9
3120,3.40E+14,West Elementary School,3.40E+14,Zion ESD 6,Zion,Lake,ELEMENTARY,Non Chicago School,58.2,60.1
3121,3.40E+14,East Elementary School,3.40E+14,Zion ESD 6,Zion,Lake,ELEMENTARY,Non Chicago School,66.3,49.4
3122,3.40E+14,Shiloh Park Elem School,3.40E+14,Zion ESD 6,Zion,Lake,ELEMENTARY,Non Chicago School,69,60.4
0+K55I2A2:K36A2A2:K3115,1.50E+14,Edison Elem Regional Gifted Cntr*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,7.1,99.7
1,1.50E+14,Decatur Classical Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,14.5,94.9
2,1.50E+14,Edgebrook Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,8.2,98.5
3,1.50E+14,Bell Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,30,79.9
4,1.50E+14,Lincoln Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,19.4,87.8
5,1.50E+14,Keller Elem Gifted Magnet School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,20.3,99.1
6,1.50E+14,Blaine Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,37.9,77.5
7,1.50E+14,Norwood Park Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,14.3,77.2
8,1.50E+14,Wildwood Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,42.7,82.7
9,1.50E+14,Alcott Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,56.9,60
10,1.50E+14,Ogden Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,18.4,75.6
11,1.50E+14,Ebinger Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,13.2,79.5
12,1.50E+14,Oriole Park Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,28.3,93.3
13,1.50E+14,Hawthorne Elem Scholastic Academy*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,16.3,92.4
14,1.50E+14,Burley Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,64.3,75.5
15,1.50E+14,Mount Greenwood Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,34,62.8
16,1.50E+14,LaSalle Elem Language Acad*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,20.9,90.9
17,1.50E+14,Skinner Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,24.3,92.5
18,1.50E+14,Cassell Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,34.2,65.8
19,1.50E+14,Coonley Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,84.9,54.6
20,1.50E+14,Sutherland Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,8.1,74
21,1.50E+14,Nettelhorst Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,61.4,53.1
22,1.50E+14,Mayer Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,74.3,52.7
23,1.50E+14,Drummond Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,70.4,46.8
24,1.50E+14,Audubon Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,73,58.7
25,1.50E+14,Sauganash Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,21.9,78.1
26,1.50E+14,South Loop Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,67.9,49.4
27,1.50E+14,Lenart Elem Regional Gifted Ctr*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,19.7,99.5
28,1.50E+14,Hamilton Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,81.7,67
29,1.50E+14,Onahan Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,20.3,76.3
30,1.50E+14,Young Magnet High School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,Chicago School,38.3,100
31,1.50E+14,JacksonA Elem Language Acad*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,43.9,89.8
32,1.50E+14,GarvyJ Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,40.2,72.6
33,1.50E+14,McDade Elem Classical School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,16.4,87.1
34,1.50E+14,Franklin Elem Fine Arts Center*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,43.1,79.4
35,1.50E+14,Poe Elem Classical School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,34.8,90.4
36,1.50E+14,Agassiz Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,74.3,42.7
37,1.50E+14,Clissold Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,24.6,67.3
38,1.50E+14,Burr Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,94.4,52.3
39,1.50E+14,Waters Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,88.8,55.7
40,1.50E+14,Canty Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,41.4,81
41,1.50E+14,ThorpO A Elem Scholastic Acad*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,51.5,79.7
42,1.50E+14,Kellogg Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,29.3,70.7
43,1.50E+14,Ravenswood Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,93.2,56.1
44,1.50E+14,Ray Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,30.6,67.5
45,1.50E+14,Stone Elem Scholastic Academy*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,59.2,75.4
46,1.50E+14,Inter-American Elem Magnet School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,56.9,74.4
47,1.50E+14,Beaubien Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,42.7,79.8
48,1.50E+14,Sheridan Elem Math & Science Acad*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,64.1,79
49,1.50E+14,Pritzker Elem School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,73.8,61.9
50,1.50E+14,Dore Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,51.8,76.9
51,1.50E+14,Murray Elem Language Academy*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,23,89.4
52,1.50E+14,Byrne Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,53.5,65.8
53,1.50E+14,Solomon Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,50.1,74.4
54,1.50E+14,Farnsworth Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,46.9,70.8
55,1.50E+14,Taft High School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,Chicago School,63.6,97.7
56,1.50E+14,Prescott Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,87.5,33.8
57,1.50E+14,Dever Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,41.6,78.5
58,1.50E+14,Newberry Elem Math & Science Acad*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,47.2,66.1
59,1.50E+14,Vanderpoel Elem Magnet School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,53.4,62.6
60,1.50E+14,Disney Elem Magnet School*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,69.2,57.9
61,1.50E+14,Hitch Elem School,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,65.4,58
62,1.50E+14,Owen Elem Scholastic Academy*,1.50E+14,City of Chicago SD 299,Chicago,Cook,ELEMENTARY,Chicago School,48.3,69.1
